Unnamed: 0,CLEE,Id,Nombre,Clase_actividad,Estrato,Tipo_vialidad,Calle,Colonia,Ubicacion,Tipo,Longitud,Latitud,Consultorio
45,02002464111001791000000000U1,65969,FARMACIA ZARAGOZA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,MAGISTERIO,CARVAJAL,MEXICALI,FIJO,-115.43153915,32.61733182,NO
46,02002464111003001001000000M3,6478876,FARMACIA GRIEGA,FARMACIAS SIN MINISUPER,11 a 30 personas,BOULEVARD,LAZARO CARDENAS,CARBAJAL,MEXICALI,FIJO,-115.43246716,32.6246459,NO
47,02002464111001972000000000S7,149654,FARMACIA GRIEGA,FARMACIAS SIN MINISUPER,6 a 10 personas,CALZADA,CHETUMAL,SONA CENTRO,SAN FELIPE,FIJO,-114.84249962,31.02515814,NO
48,02002464112001651000000521S5,6852134,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,11 a 30 personas,CALZADA,CALZADA DE LAS AMERICAS,CUAHUTEMOC NORTE,MEXICALI,FIJO,-115.44936803,32.66263631,NO
49,02002464111000931011000521S4,6285867,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,11 a 30 personas,AVENIDA,PONTEVEDRA,INFONAVIT CUCAPAH,MEXICALI,FIJO,-115.47256275,32.61838117,NO
50,02002464111000621011000521S1,6286322,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,11 a 30 personas,CALLE,BAHIA DE LOS ANGELES,BAJA CALIFORNIA,MEXICALI,FIJO,-115.5157687,32.65415408,NO
51,02002464112001551001000521S7,6284074,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,11 a 30 personas,CALLE,IGNACIO MANUEL ALTAMIRANO,CENTRO,MEXICALI,FIJO,-115.49146242,32.66088698,NO
52,02002464111005432000037579S8,8781624,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,11 a 30 personas,CALLE,IGNACIO MANUEL ALTAMIRANO,PRIMER SECCION,MEXICALI,FIJO,-115.4914619,32.66083612,NO
53,02002464112001183000000521M9,6282999,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,11 a 30 personas,CALLE,IGNACIO MANUEL ALTAMIRANO,CENTRO PRIMERA SECCION,MEXICALI,FIJO,-115.49146186,32.66083263,NO
54,02002464111000741012000521S7,6286324,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,6 a 10 personas,AVENIDA,REFORMA,CENTRO,MEXICALI,FIJO,-115.49150902,32.66232852,NO
55,02002464111002491010000521S7,6283917,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,11 a 30 personas,AVENIDA,ZUAZUA,PRIMERA SECCION,MEXICALI,FIJO,-115.48894004,32.65904863,NO
56,02002464111002162001037579M4,87257,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,11 a 30 personas,CALLE,SIN CALLE,JABONERA,MEXICALI,FIJO,-115.48114391,32.65852502,NO
57,02002464111001101011000521S3,6287571,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,6 a 10 personas,CALZADA,CALZADA DE LOS MONARCAS,VILLAS DEL REY,MEXICALI,FIJO,-115.48149943,32.59368341,NO
58,02002464112000551001000521S8,6282701,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,11 a 30 personas,BOULEVARD,LAZARO CARDENAS,VENUSTIANO CARRANZA,MEXICALI,FIJO,-115.40602793,32.62293042,NO
59,02002464111000891000000000U0,73655,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,ANAHUAC,VILLAS DEL REY TERCERA ETAPA,MEXICALI,FIJO,-115.47901906,32.60706822,NO
60,02002464111002703001000000S5,84489,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,NUEVO MEXICALI,MEXICALI,FIJO,-115.38661248,32.61065432,NO
61,02002464112001531002000521S9,6701501,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,6 a 10 personas,CARRETERA,CARRETERA A SAN LUIS RIO COLORADO,VALLE DEL PEDREGAL,MEXICALI,FIJO,-115.36083558,32.57797807,NO
62,02002464111001471011000521S0,6286240,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,6 a 10 personas,CALLE,13 DE SEPTIEMBRE,LOS NARANJOS,MEXICALI,FIJO,-115.44042892,32.5873144,NO
63,02002464111005421000037579S1,8781622,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,11 a 30 personas,AVENIDA,VICENTE GUERRERO,GUADALUPE VICTORIA,MEXICALI,FIJO,-115.10373646,32.28819528,NO
64,02002464111001561011000521S8,6285868,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,11 a 30 personas,AVENIDA,JOSE MARIA MORELOS Y PAVON ESTE,CIUDAD MORELOS,MEXICALI,FIJO,-114.85331074,32.63323115,NO
65,02002464111005111000000000U8,6973146,FARMACIA GUADALUPANA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,AGRIPINO VILLASEÑOR,ESTACION COAHUILA,MEXICALI,FIJO,-114.99796118,32.19753009,NO
66,02002464111002182001000521S2,6284073,FARMACIA GUADALUPANA,FARMACIAS CON MINISUPER,6 a 10 personas,AVENIDA,JOSE MARIA MORELOS Y PAVON,POBLADO BENITO JUAREZ,MEXICALI,FIJO,-114.99253697,32.57119233,NO
67,02002464111004622000000000U5,6930479,FARMACIA LA MEJOR,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,ADOLFO LOPEZ MATEOS,PRIMERA SECCION,MEXICALI,FIJO,-115.49331037,32.66336601,NO
68,02002464111003532000000000S7,92267,FARMACIA LEVIS,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,ANAHUAC,VILLAS DEL REY TERCERA ETAPA,MEXICALI,FIJO,-115.47894293,32.606256,NO
69,02002464111007131000000000U4,10789320,FARMACIA SAN JOSE,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,CARBAJAL,MEXICALI,FIJO,-115.43256284,32.62464061,NO
70,02002464111003731001000000U5,80142,FARMACIA SAN JOSE,FARMACIAS SIN MINISUPER,0 a 5 personas,CALZADA,EL ROBLEDO,EL ROBLEDO,MEXICALI,FIJO,-115.40165569,32.58144852,NO
71,02004464111004621000000000U3,116217,FARMACIA TIJUANA,FARMACIAS SIN MINISUPER,6 a 10 personas,CALLE,SIN CALLE,LIBERTAD PARTE BAJA,TIJUANA,FIJO,-117.0251787,32.54097483,NO
74,02001464111003261000000000U5,10446955,BTC FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,ZERTUCHE,VILLAS DEL MAR,ENSENADA,FIJO,-116.58686303,31.79275807,NO
76,02002464111007441000000000U7,11069447,CALIFORNIA FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,MIRASOL,MEXICALI,FIJO,-115.38685266,32.61040309,NO
78,02001464111003221000000000U9,10072274,CARMENS FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,PEATONAL,SIN CALLE,LA BUFADORA,ENSENADA,FIJO,-116.7199449,31.72536192,NO
80,02001541941000061010000000U9,72409,CLINICA FARMACIA Y RICO,SERVICIOS VETERINARIOS PARA MASCOTAS PRESTADOS POR EL SECTOR PRIVADO,0 a 5 personas,CALLE,NOVENA,OBRERA,ENSENADA,FIJO,-116.61417376,31.86835446,NO
82,02004621111011121000000000U5,8485476,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,CALLE,CALLE DE SERVICIO,NUEVA TIJUANA,TIJUANA,FIJO,-116.92975538,32.53782202,SI
85,02002621111006171000000000U1,10929764,CONSULTORIO DE FARMACIA LUVI,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,AVENIDA,RIO VERDE,VILLA VERDE,MEXICALI,FIJO,-115.38360729,32.60051012,SI
86,02004621111009611000000000S9,8515084,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,CUAUHTEMOC NORTE,LIBERTAD PB,TIJUANA,FIJO,-117.00880598,32.53366221,SI
87,02005621111000341000000000S9,8280527,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,BENITO JUAREZ,CENTRO,PLAYAS DE ROSARITO,FIJO,-117.05759301,32.34321492,SI
89,02004621111011951000000000U5,9697444,FARMACIA ROMA,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,AVENIDA,ROSARITO,FRACC VALLE DEL RUBI,TIJUANA,FIJO,-117.03281857,32.48049298,SI
90,02002621111006331000000000U1,10281590,CONSULTORIO FARMACIA SALUD ES VIDA,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,CALZADA,L D COLOSIO MURRIETA,MISION DE SAN IGNACIO,MEXICALI,FIJO,-115.52970058,32.6523583,SI
91,02005621111000521000000000U6,10603826,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,CALLE,GUERRERO,CONSTITUCION,PLAYAS DE ROSARITO,FIJO,-117.05037621,32.3660461,SI
92,02004621111012271000000000U7,11026370,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,AVENIDA,AVENIDA DE LAS FERIAS INDEPENDENCIA,HIPODROMO DOS,TIJUANA,FIJO,-116.98875364,32.49803454,SI
94,02005621111000391000000000U4,8698479,FARMACIA ROMA,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,CALLE,ARTICULO 27 CONSTITUCIONAL,CONSTITUCION,PLAYAS DE ROSARITO,FIJO,-117.05392843,32.3658248,SI
96,02004621111006771000000000U4,103649,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,PASEO DE LOS LAURELES,EL REFUGIO,TIJUANA,FIJO,-116.82306327,32.46161343,SI
98,02002621111005881000000000U6,9491211,CONSULTORIO MEDICO DE FARMACIA ECONOMICAS,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,AVENIDA,MIGUEL HIDALGO Y COSTILLA,GUADALUPE VICTORIA,MEXICALI,FIJO,-115.10387508,32.28679706,SI
99,02002621111005141000000000U5,8319536,CONSULTORIO MEDICO DE FARMACIA MG FAMILIARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,AVENIDA,RIO SAN PEDRO MEZQUITAL,GONZALEZ ORTEGA,MEXICALI,FIJO,-115.39553202,32.60912358,SI
100,02005621111000401000063951S1,8589315,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,BENITO JUAREZ,MACHADO SUR,PLAYAS DE ROSARITO,FIJO,-117.05940395,32.35353728,SI
101,02004621111008731000000000U6,103738,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,PASEO DE LOS LAURELES,EL REFUGIO,TIJUANA,FIJO,-116.82384154,32.46080327,SI
102,02004621111009501000000000U2,7048946,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,CALLE,PASEO DE LAS LOMAS,TERRAZAS DEL VALLE,TIJUANA,FIJO,-116.82715344,32.4887787,SI
103,02005621111000511000000000U7,9768073,FARMACIA DEL AHORRO,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,BENITO JUAREZ,MACHADO NORTE,PLAYAS DE ROSARITO,FIJO,-117.05950449,32.36472579,SI
104,02002621111006321000000000U2,9541201,CONSULTORIO MEDICO FARMACIA,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,MIRASOL,MEXICALI,FIJO,-115.38685266,32.61040309,SI
105,02004621111008531000000000U0,125897,FARMACIA LA MAS BARATA,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,GUSTAVO DIAZ ORDAZ,RUBIO,TIJUANA,FIJO,-116.94313939,32.48502362,SI
106,02002621111005731000000000U3,8756479,FARMACIA DEL AHORRO,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,VILLAFONTANA,MEXICALI,FIJO,-115.49711161,32.62395619,SI
107,02004464111012721000000000S1,11174407,FARMACIA SIMILARES,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,CUCAPAH,BUENOS AIRES SUR,TIJUANA,FIJO,-116.90020028,32.51147425,NO
108,02004621111011151000063951S2,8486102,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,CALLE,CAMINO GUADALUPE VICTORIA,MARIANO MATAMOROS,TIJUANA,FIJO,-116.87452343,32.47636233,SI
109,02005621111000271000063951S8,131055,FARMACIA SIMILARES,CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO,0 a 5 personas,BOULEVARD,BENITO JUAREZ,ECHEVERRIA,PLAYAS DE ROSARITO,FIJO,-117.05954639,32.36340662,SI
116,02001464111002412000000000S5,6908520,COSMO FARMACIA,FARMACIAS SIN MINISUPER,11 a 30 personas,CALLE,NOVENA,CENTRO,ENSENADA,FIJO,-116.62667296,31.87283579,NO
117,02001464111001562001000000U8,71143,COSMO FARMACIA,FARMACIAS SIN MINISUPER,11 a 30 personas,BOULEVARD,ADOLFO RAMIREZ MENDEZ,BAHIA,ENSENADA,FIJO,-116.60313281,31.85844536,NO
118,02001464111003351000000000U4,9813540,DEL MAR FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,PEATONAL,SIN CALLE,LA BUFADORA,ENSENADA,FIJO,-116.71960737,31.72599527,NO
119,02001464111003021000000000U3,11275760,DEL MAR FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,PEATONAL,SIN CALLE,LA BUFADORA,ENSENADA,FIJO,-116.72023943,31.72508398,NO
120,02001464111003131000000000U0,10610468,DEL MAR FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,PEATONAL,SIN CALLE,LA BUFADORA,ENSENADA,FIJO,-116.72194245,31.72423974,NO
123,02001464113001291000000000S0,8345936,DERMA CLUB FARMACIA,"COMERCIO AL POR MENOR DE PRODUCTOS NATURISTAS, MEDICAMENTOS HOMEOPATICOS Y DE COMPLEMENTOS ALIMENTICIOS",0 a 5 personas,CALLE,JUAN RODRIGUEZ CABRILLO,OBRERA,ENSENADA,FIJO,-116.61442669,31.85978133,NO
124,02004464111005191000000000S6,154139,DERMA CLUB FARMACIA DERMATOLOGICA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,DAVID ALFARO SIQUEIROS,RIO,TIJUANA,FIJO,-117.01314313,32.52062067,NO
130,02002464111005261000000000S1,8462773,DISCOUNT FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,FRANCISCO I MADERO,PRIMERA SECCION,MEXICALI,FIJO,-115.49423125,32.66423783,NO
131,02005464111001072000000000S9,11071069,DISCOUNT FARMACIA,FARMACIAS SIN MINISUPER,6 a 10 personas,BOULEVARD,BENITO JUAREZ,CENTRO,PLAYAS DE ROSARITO,FIJO,-117.05528081,32.33810726,NO
132,02004464113001672010018821S5,116090,DISCOUNT FARMACIA 2,FARMACIAS CON MINISUPER,6 a 10 personas,AVENIDA,REVOLUCION,CENTRO,TIJUANA,FIJO,-117.03687802,32.53372737,NO
137,02002464111004691000000000S0,7634074,FARMACIA MARGARITA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,MARIANO ARISTA,NUEVA SEGUNDA SECCION,MEXICALI,FIJO,-115.46424616,32.65980315,NO
139,02004464111000841000000000U1,55299,E Z FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,CARRILLO PUERTO  TERCERA,CENTRO,TIJUANA,FIJO,-117.03637607,32.53409146,NO
140,02001464111003411000000000U6,11816399,ECO FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,PROLONGACION,RUIZ,LOS ENCINOS,ENSENADA,FIJO,-116.60279671,31.90980065,NO
141,02004464111012881000000000U3,10964517,ECONO FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,EMILIANO ZAPATA QUINTA,CENTRO,TIJUANA,FIJO,-117.03906175,32.53175641,NO
142,02002464111006941000000000U7,9664111,ECONO FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,ANILLO PERIFERICO,VICTORIA,MEXICALI,FIJO,-115.34597482,32.60292158,NO
155,02006464111000101000000000S5,10568381,ESKALA FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CARRETERA,TRANSPENINSULAR,LAZARO CARDENAS,SAN QUINTIN,FIJO,-115.9324986,30.53077925,NO
175,02001464111003101000000000U3,11088937,FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,SEGUNDA,SAUZAL,ENSENADA,FIJO,-116.69173879,31.89253403,NO
176,02001464111003161000000000M7,9926286,FARMACIA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,CARRETERA TRANSPENINSULAR,MANEADERO,ENSENADA,FIJO,-116.57429475,31.72540986,NO
177,02002461211000383002000442S9,6284159,FARMACIA 2,FARMACIAS CON MINISUPER,31 a 50 personas,AVENIDA,5 DE MAYO (A),CENTRO,MEXICALI,FIJO,-114.72927176,32.71714084,NO
178,02004464111000541000000000U7,150018,FARMACIA 3 DE OCTUBRE,FARMACIAS SIN MINISUPER,0 a 5 personas,BOULEVARD,PRINCIPAL 3 DE OCTUBRE,3 DE OCTUBRE,TIJUANA,FIJO,-116.94224196,32.45781652,NO
179,02001464111000271000000000U7,140493,FARMACIA AB,FARMACIAS SIN MINISUPER,0 a 5 personas,CARRETERA,TRANSPENINSULAR,LA 5000,SAN QUINTIN,FIJO,-115.94228005,30.56127336,NO
180,02002464111000511000000000U4,144928,FARMACIA ABY,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,JOSE MARIA MORELOS Y PAVON,POBLADO BENITO JUAREZ,MEXICALI,FIJO,-114.99916247,32.56779006,NO
181,02004464111000351000000000U1,55200,FARMACIA ALBA ROJA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,FRANCISCO I MADERO,CENTRO,TIJUANA,FIJO,-117.035154,32.53284784,NO
182,02004464111008831000000000U4,8350053,FARMACIA ALEGAB,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,JOSE GOROSTIZA,URBANA RIO TIJUANA,TIJUANA,FIJO,-117.02227139,32.53356346,NO
183,02002464111000631001064789S0,146956,FARMACIA ALEX,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,JOSE MARIA MORELOS Y PAVON ESTE,MORELOS,MEXICALI,FIJO,-114.8565608,32.63231465,NO
184,02001464111000151000000000U1,75010,FARMACIA ALEX,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,PENA BLANCA,LAZARO CARDENAS O VALLE DE LA TRINIDAD,ENSENADA,FIJO,-115.72817017,31.39843067,NO
185,02002464111007221000064789S3,10549100,FARMACIA ALEX,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,INDEPENDENCIA,MORELOS,MEXICALI,FIJO,-114.86302753,32.62499501,NO
186,02001464111002641000000000U9,8552448,FARMACIA ALEXA,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,REVOLUCION,FRANCISCO ZARCO,ENSENADA,FIJO,-116.56807518,32.09705999,NO
187,02002464111003271000000000U2,81408,FARMACIA ALFA,FARMACIAS SIN MINISUPER,0 a 5 personas,CALLE,PRIMERA,HECHICERA,MEXICALI,FIJO,-115.15304471,32.54855807,NO
188,02002464111003741000000000U4,78995,FARMACIA ALGODONES,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,16 DE SEPTIEMBRE B,VICENTE GUERRERO ALGODONES,MEXICALI,FIJO,-114.72943818,32.71603938,NO
189,02001464111003091000000000U6,9905217,FARMACIA ALKEN,FARMACIAS SIN MINISUPER,0 a 5 personas,AVENIDA,RIVEROLL,CENTRO,ENSENADA,FIJO,-116.6200239,31.87026168,NO
190,02002561990000757011027330S2,6879876,FARMACIA ALMATER,FARMACIAS SIN MINISUPER,11 a 30 personas,AVENIDA,FRANCISCO I MADERO,NUEVA,MEXICALI,FIJO,-115.47699971,32.66566803,NO
