CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local
02002464111003051000000291S8,85378,FARMACIAS SIMILARES MEXICALI 27,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,PASEO FLORIDA,3898,,VILLA FLORIDA,21395,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.36551900,32.60411184,,,
02002464111003981000000291S6,6778809,FARMACIAS SIMILARES MEXICALI 28,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,CUAUHTÉMOC (AVIACIÓN),1299,,VISTA HERMOSA,21240,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.42420936,32.65886392,,,
02002464111002941000000291S1,79103,FARMACIAS SIMILARES MEXICALI 29,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,16 DE SEPTIEMBRE (B),250,,LOS ALGODONES,21970,"VICENTE GUERRERO (ALGODONES), Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-114.73095692,32.71583878,,,
02002464111003121000000291S9,6189706,FARMACIAS SIMILARES MEXICALI 30,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,GENERAL SANTIAGO VIDAURRI,236,3,SOLIDARIDAD SOCIAL,21387,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.44687559,32.58846147,,,
02002464111004091000000291S3,6785314,FARMACIAS SIMILARES MEXICALI 31,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,GÓMEZ MORÍN (REFORME),1101,2,VILLA RESIDENCIAL VENECIA,21353,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.46976883,32.59519427,,,
02002464111006451000000291S7,9456422,FARMACIAS SIMILARES MEXICALI 32,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,PROLONGACION,HEROICO COLEGIO MILITAR,1801,1,FELIPE ANGELES,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.50607734,32.60939232,,,
02002464111005832000038010S9,9223878,FARMACIAS SIMILARES MEXICALI 33,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,ROSA DEL DESIERTO,4358,,VALLE DEL PEDREGAL,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,PEDREGAL.1@HOTMAIL.COM,,Fijo,-115.35446913,32.58675749,,,
02002464111005962000038010S4,9223890,FARMACIAS SIMILARES MEXICALI 34,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,RÍO SAN ÁNGEL,48,1,VALLE DE PUEBLA,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,SIMI.PUEBLA@HOTMAIL.COM,,Fijo,-115.36750193,32.57801147,EDIFICIO COMERCIAL Y DE SERVICIOS,MAR Y SAL,48
02002464111005872000038010S5,9223882,FARMACIAS SIMILARES MEXICALI 35,FRANCORAL SA DE CV,Farmacias sin minisúper,6 a 10 personas,AVENIDA,OCOTLÁN,1003,,SAN MARCOS,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,SIMI.SANMARCOS@HOTMAIL.COM,,Fijo,-115.49427421,32.63276924,,,
02002464111006291000038010S7,9460000,FARMACIAS SIMILARES MEXICALI 37,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,ROSA DEL DESIERTO (CECILIA),4358,,VALLE DEL PREDEGAL,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,PEDREGAL2@OUTLOOK.COM,,Fijo,-115.35782358,32.58066928,,,
02002464111004021000000291S0,6778765,FARMACIAS SIMILARES MEXICALI 38,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,RÍO CHAMPOTÓN,2099,7,BUGAMBILIAS,21395,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.37411338,32.60134623,,,
02002464111005812000038010S1,9223876,FARMACIAS SIMILARES MEXICALI 4,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,ANÁHUAC,1808,,JARDINES DE LAGO,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,JARDINES.DEL.LAGO@HOTMAIL.COM,,Fijo,-115.47928030,32.61665420,,,
02002464111004231000000291S5,6814086,FARMACIAS SIMILARES MEXICALI 42,,Farmacias sin minisúper,0 a 5 personas,CALZADA,VILLA OBREGÓN,236,,HACIENDA DEL RIO,21399,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.37733504,32.61003379,,,
02002464111005922000038010S8,9223887,FARMACIAS SIMILARES MEXICALI 43,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,MICHOACÁN,2100,,REVOLUCION,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,SIMI.MICHOACAN@HOTMAIL.COM,,Fijo,-115.51206913,32.65620392,,,
02002464111004551000000291S6,6868059,FARMACIAS SIMILARES MEXICALI 44,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,ANÁHUAC,2650,,VILLA RESIDENCIAL DEL PRADO 2 SECCION,21355,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.47146061,32.57784494,,,
02002464111004531000000291S8,6868058,FARMACIAS SIMILARES MEXICALI 45,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,OTRO(ESPECIFIQUE),BARDA,1300,,LA CONDESA,21395,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.34561254,32.59531604,,,
02002464111006371000000291S7,9395437,FARMACIAS SIMILARES MEXICALI 48,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,LÁZARO CÁRDENAS,498,,VIÑEDOS RESIDENCIAL,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.56266267,32.62177630,,,
02002464111006301000038010S4,9446090,FARMACIAS SIMILARES MEXICALI 49,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,NOVENA,1501,,VERONA,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,F74669@HOTMAIL.COM,,Fijo,-115.38433967,32.64224759,,,
02002464111006381000000291S6,9408875,FARMACIAS SIMILARES MEXICALI 50,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,MANUEL GÓMEZ MORÍN,1930,,HACIENDA LOS PORTALES,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.49475353,32.59523658,,,
02002464111006461000000291S6,9395130,FARMACIAS SIMILARES MEXICALI 51,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,ROBERTO MONTENEGRO,1899,3,VILLA COLONIAL,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.40907736,32.62503923,,,
02002464111006391000000291S5,9466990,FARMACIAS SIMILARES MEXICALI 52,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,CUAUHTÉMOC (AVIACIÓN),475,,AVIACION,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.44223558,32.65803037,,,
02002464111006321000000291S2,9438625,FARMACIAS SIMILARES MEXICALI 54,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,CÓNDOR,0,,EL CONDOR,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.38173520,32.59476242,,,
02002464111006341000000291S0,9427791,FARMACIAS SIMILARES MEXICALI 59,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,HEROICA DE PUEBLA,698,,ANGELES DE PUEBLA,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMMA.COM,,Fijo,-115.33690340,32.56535529,,,
02002464111006331000000291S1,9427789,FARMACIAS SIMILARES MEXICALI 60,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,LEÓN,200,,VILLA RESIDENCIAL DEL PRADO,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.47956401,32.57721227,,,
02002464111006441000000291S8,9395128,FARMACIAS SIMILARES MEXICALI 61,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,OTRO(ESPECIFIQUE),NINGUNO,1,,LA CONDESA,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.34132757,32.58232189,,,
02002464111006611000038010S6,9399729,FARMACIAS SIMILARES MEXICALI 62 ,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,RÍO FUERTE,599,,PROHOGAR,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,PROHOGAR76211@HOTMAIL.COM,,Fijo,-115.43900852,32.64984726,,,
02002464111005782000038010S6,9223873,FARMACIAS SIMILARES MEXICALI 64,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,RÍO SAN ÁNGEL,265,,VALLE DE PUEBLA,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,VALLEPUEBLA2@HOTMAIL.COM,,Fijo,-115.36956061,32.57354369,,,
02002464111006281000000291S8,9436390,FARMACIAS SIMILARES MEXICALI 65,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,MANUEL GÓMEZ MORÍN,1999,1,HACIENDA LOS PORTALES,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.49478332,32.59523670,,,
02002464111006481000000291S4,9416210,FARMACIAS SIMILARES MEXICALI 67,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,ISLAS AGRARIAS,3655,18,ALTARIA RESIDENCIAL,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.37252507,32.61398732,,,
02002464111004141000000291S6,6789311,FARMACIAS SIMILARES MEXICALI 7,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,REACOMODO GONZÁLEZ,1,,CARRANZA,21135,"COLONIA VENUSTIANO CARRANZA (LA CARRANZA), Mexicali, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-115.16547998,32.23199110,,,
02002464111005862000038010S6,9223881,FARMACIAS SIMILARES MEXICALI 9,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,CAMINO NACIONAL,3,,LUNA,,"MEXICALI, Mexicali, BAJA CALIFORNIA",,SANTAISABEL@HOTMAIL.COM,,Fijo,-115.57395702,32.62779072,,,
02004464111010832000038352S8,9320817,FARMACIAS SIMILARES NATURA 4,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,VISTAS DEL SOL,1601,,NATURA,22165,"TIJUANA, Tijuana, BAJA CALIFORNIA",,NATURA4@DEMISFARMACIAS.COM,WWW.DEMISFARMACIAS.COM,Fijo,-116.92360988,32.36632263,,,
02004464111009753000038352S9,7923610,FARMACIAS SIMILARES OFICINAS ADMINISTRATIVAS,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,PASEO CENTENARIO TIJUANA,10310,,ZONA URBANA RIO TIJUANA,22010,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,WWW.DEMISFARMACIAS.COM,Fijo,-117.01514138,32.53113964,EDIFICIO COMERCIAL Y DE SERVICIOS,CAZZAR,301
02001464111001211000000291S2,6419170,FARMACIAS SIMILARES PALMERAS ENSENADA 11,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,HUERTA,136,,VISTA HERMOSA,22890,"ENSENADA, Ensenada, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.59699236,31.81451882,,,
02001464111001321000000291S9,64005,FARMACIAS SIMILARES PLAYA HERMOSA,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,PEDRO LOYOLA,18,,PLAYA HERMOSA,22890,"ENSENADA, Ensenada, BAJA CALIFORNIA",,CGEN@GOYOMACOM,,Fijo,-116.60571589,31.83263938,,,
02005464111000271000000291S8,6285246,FARMACIAS SIMILARES PLAYAS DE ROSARITO 1,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CARRETERA,LIBRE TIJUANA-ROSARITO,123,3,LUCIO BLANCO,22710,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.05685416,32.38390577,,,
02005464111000921000000291S8,9442649,FARMACIAS SIMILARES PLAYAS DE ROSARITO 10,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,COSTA ALEGRE (TABASCO),0,10,PLAYAS DE ROSARITO,,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.01638681,32.39363253,CENTRO Y PLAZA COMERCIAL,PLAZA ROX,SN
02001464111002491000000291S9,8280660,FARMACIAS SIMILARES PLAYAS DE ROSARITO 11,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,JESÚS GONZÁLEZ,0,,REFORMA,22704,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.05620376,32.37142403,,,
02005464111000352001000291S6,130565,FARMACIAS SIMILARES PLAYAS DE ROSARITO 2,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CARRETERA,LIBRE TIJUANA-ROSARITO,90,1,PLAN LIBERTADOR,22710,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.04775323,32.40776779,,,
02005464111000541000000000U4,6802418,FARMACIAS SIMILARES PLAYAS DE ROSARITO 4,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,CARRETERA,LIBRE TIJUANA-ROSARITO,562,0,INDEPENDENCIA ,22706,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,WENDY@DEMISFARMACIAS.COM,,Fijo,-117.05172428,32.40095949,CENTRO Y PLAZA COMERCIAL,PLAZA IRIS ,
02005464111000531000000000U5,6802364,FARMACIAS SIMILARES PLAYAS DE ROSARITO 5,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,6 a 10 personas,CALLE,GUERRERO,0,894,CONSTITUCION,22706,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,WENDY@DEMISFARMACIAS.COM,,Fijo,-117.05030613,32.36571051,,,
02005464111000561000000000U2,6802424,FARMACIAS SIMILARES PLAYAS DE ROSARITO 6,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,NINGUNO,0,,PRIMO TAPIA,22740,"PRIMO TAPIA, Playas de Rosarito, BAJA CALIFORNIA",6616140533,WENDY@DEMISFARMACIAS.COM,,Fijo,-116.91947152,32.22611465,,,
02005464111000551000000000U3,6802419,FARMACIAS SIMILARES PLAYAS DE ROSARITO 7,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,ALFREDO BONFIL,402,0,AMPLIACION MAZATLAN,22707,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",6642760715,LILIANALUJANOJ@GMAIL.COM,,Fijo,-117.04502627,32.34728426,,,
02004464111006911000000291S6,6785325,FARMACIAS SIMILARES PLAYAS DE ROSARITO 8,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,BENITO JUÁREZ,1,,ECHEVERRIA,22710,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.06054616,32.37107920,,,
02004464111008391000000291S9,6868531,FARMACIAS SIMILARES PLAZA CALIFORNIA,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,LA PAZ,8853,,BONATERRA,22647,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.00504171,32.46766328,,,
02004464111004062001000291S0,6285211,FARMACIAS SIMILARES PLAZA LOS VENADOS,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,PADRE SALVATIERRA,14622,,COLINAS SAN RAFAEL,22170,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.06819267,32.48502930,,,
02001464111001192000000291S4,6284830,FARMACIAS SIMILARES REFORMA ENSENADA 1,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,REFORMA,107,14,OBRERA,22830,"ENSENADA, Ensenada, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.60585152,31.85582379,CENTRO Y PLAZA COMERCIAL,SANTA MARGARITA,14
02002464111005842000038010S8,9223879,FARMACIAS SIMILARES RIO COLORADO OFICINA,FRANCORAL SA DE CV,Farmacias sin minisúper,6 a 10 personas,CARRETERA,CARRETERA A SAN LUIS RIO COLORADO KM 8+500,,,GONZALEZ ORTEGA,21397,"MEXICALI, Mexicali, BAJA CALIFORNIA",,FRANCORAL_AUDITORIAQPCONTADORES@HOTMAIL.COM,,Fijo,-115.39462535,32.58958274,,,
02005464111000941000000291S6,9463852,FARMACIAS SIMILARES ROSARITO 6,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CARRETERA,LIBRE TIJUANA A ROSARITO,1998,,CARLOS SALINAS DE GOTARI,,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.05492372,32.39408724,,,
02002464111002032001000291S9,149637,FARMACIAS SIMILARES SAN FELIPE 1,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,CHETUMAL,320,,CENTRO,21278,"SAN FELIPE                                                                                                    , San Felipe, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-114.83960242,31.02448993,,,
02007464111000021000000291S3,9438624,FARMACIAS SIMILARES SAN FELIPE 2,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALZADA,CHETUMAL,743,,SAN FELIPE,,"SAN FELIPE                                                                                                    , San Felipe, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-114.84406198,31.02586153,,,
02002464111006591000038010S0,9447326,FARMACIAS SIMILARES SAN LUIS RIO COLORADO 11,FRANCORAL SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,NINGUNO,2,,VALLE MEXICALI,,"CRUCERO DEL TOLUCA (EJIDO TOLUCA), Mexicali, BAJA CALIFORNIA",,EJTOLUCA76198@HOTMAIL.COM,,Fijo,-115.06784998,32.42874589,,,
02004464111007551000000000U9,6802421,FARMACIAS SIMILARES TIJUANA 115 MIRAMAR,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,MIGUEL INCLAN,2834,,MIRAMAR,22238,"TIJUANA, Tijuana, BAJA CALIFORNIA",,MIRAMAR@DEMISFARMACIAS.COM,,Fijo,-117.08359380,32.51377535,,,
02004464111007321000000291S7,6801253,FARMACIAS SIMILARES TIJUANA 130,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,PEÑÓN,35,,EL PEÑON,22204,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.87364305,32.52960363,,,
02004464111007331000000291S6,6801888,FARMACIAS SIMILARES TIJUANA 134,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,GENERAL RODOLFO SÁNCHEZ TABOADA,9013,,ZONA ESTE,22000,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.02699994,32.52809233,,,
02004464111007731000000000S7,6802533,FARMACIAS SIMILARES TIJUANA 135 GRANJAS FAMILIARES,DISTRIBUIDORA DE MIS FARMACIAS SAPI DE CV,Farmacias sin minisúper,0 a 5 personas,AVENIDA,AVENIDA DE LA CIENEGA,0,,GRANJAS FAMILIARES DEL MATAMOROS,22203,"TIJUANA, Tijuana, BAJA CALIFORNIA",6642072243,,,Fijo,-116.88565509,32.52449238,,,
02004464111007341000000291S5,6802030,FARMACIAS SIMILARES TIJUANA 136,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,CALLE DEL MANZANO,12389,3,VILLA DEL ALAMO,22170,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.94399436,32.43279850,,,
02004464111004032001000291S3,6288160,FARMACIAS SIMILARES TIJUANA 14,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,BOULEVARD,GUSTAVO DÍAZ ORDAZ,1550,,JARDINES DE LA MESA,22126,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.92746814,32.46230668,,,
02004464111008401000000291S6,6868532,FARMACIAS SIMILARES TIJUANA 151,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,LOS OLIVOS,6,5,LAS TORRES PARTE BAJA,22444,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.90232095,32.53767005,,,
02004464111011471000000291S4,9401043,FARMACIAS SIMILARES TIJUANA 160,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,CAÑON AZTECA,3321,,ARTESANAL,,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-117.07029661,32.50818670,,,
02004464111011641000000291S2,9459933,FARMACIAS SIMILARES TIJUANA 17,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,DE LAS TORRES,1201,,LAS TORRES,,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.89301256,32.54507944,,,
02004464111011221000000291S3,9406287,FARMACIAS SIMILARES TIJUANA 178,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,PASEO DEL RÍO,2808,,RIO TIJUANA TERCERA ETAPA,,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.92656323,32.47798403,,,
02004464111011201000000291S5,9427788,FARMACIAS SIMILARES TIJUANA 181,GOYOMA SA DE CV,Farmacias sin minisúper,0 a 5 personas,CALLE,VÍA RÁPIDA,12500,,LOS SANTOS,,"TIJUANA, Tijuana, BAJA CALIFORNIA",,CGEN@GOYOMA.COM,,Fijo,-116.96467266,32.51018485,CENTRO Y PLAZA COMERCIAL,PLAZA LOS SANTOS,SN
